"tm","regex_mrp","bert990_mrp","regex_uw","bert990_uw","iclaimnsa","iclaimnsa_raw"
199226,NA,NA,NA,NA,2.24871891393044,2.24871891393044
199227,NA,NA,NA,NA,2.40130780066058,2.40130780066058
199228,NA,NA,NA,NA,3.0724815426462,3.0724815426462
199229,NA,NA,NA,NA,2.74715853895473,2.74715853895473
199230,NA,NA,NA,NA,3.36719205362347,3.36719205362347
199231,NA,NA,NA,NA,2.32015008742957,2.32015008742957
199232,NA,NA,NA,NA,2.22272683116378,2.22272683116378
199233,NA,NA,NA,NA,1.95944846512532,1.95944846512532
199234,NA,NA,NA,NA,1.89695453662328,1.89695453662328
199235,NA,NA,NA,NA,1.88098649698854,1.88098649698854
199236,NA,NA,NA,NA,2.05827423741986,2.05827423741986
199237,NA,NA,NA,NA,1.81652540314746,1.81652540314746
199238,NA,NA,NA,NA,2.09523144550223,2.09523144550223
199239,NA,NA,NA,NA,1.91528438896445,1.91528438896445
199240,NA,NA,NA,NA,1.98500340003886,1.98500340003886
199241,NA,NA,NA,NA,2.1462988148436,2.1462988148436
199242,NA,NA,NA,NA,1.88359116961337,1.88359116961337
199243,NA,NA,NA,NA,2.02183917816204,2.02183917816204
199244,NA,NA,NA,NA,2.01526374587138,2.01526374587138
199245,NA,NA,NA,NA,2.38132042937634,2.38132042937634
199246,NA,NA,NA,NA,2.11294807654945,2.11294807654945
199247,NA,NA,NA,NA,2.44057217796775,2.44057217796775
199248,NA,NA,NA,NA,1.92598843986788,1.92598843986788
199249,NA,NA,NA,NA,2.73051049154848,2.73051049154848
199250,NA,NA,NA,NA,2.57842553914902,2.57842553914902
199251,NA,NA,NA,NA,2.40807144938799,2.40807144938799
199252,NA,NA,NA,NA,2.38374295706237,2.38374295706237
199301,NA,NA,NA,NA,2.95964882455799,2.95964882455799
199302,NA,NA,NA,NA,4.27998105692637,4.27998105692637
199303,NA,NA,NA,NA,3.39102875461434,3.39102875461434
199304,NA,NA,NA,NA,2.49504565766466,2.49504565766466
199305,NA,NA,NA,NA,2.41038469011074,2.41038469011074
199306,NA,NA,NA,NA,2.33574776568875,2.33574776568875
199307,NA,NA,NA,NA,2.09175247717117,2.09175247717117
199308,NA,NA,NA,NA,2.09537108995531,2.09537108995531
199309,NA,NA,NA,NA,2.23074120847095,2.23074120847095
199310,NA,NA,NA,NA,2.21114848455411,2.21114848455411
199311,NA,NA,NA,NA,2.03488682727803,2.03488682727803
199312,NA,NA,NA,NA,1.91539367592772,1.91539367592772
199313,NA,NA,NA,NA,2.00670293374781,2.00670293374781
199314,NA,NA,NA,NA,2.01495409947542,2.01495409947542
199315,NA,NA,NA,NA,2.10467262483,2.10467262483
199316,NA,NA,NA,NA,1.95237517000194,1.95237517000194
199317,NA,NA,NA,NA,1.88772585972411,1.88772585972411
199318,NA,NA,NA,NA,1.73097192539343,1.73097192539343
199319,NA,NA,NA,NA,1.83302166310472,1.83302166310472
199320,NA,NA,NA,NA,1.74825140858753,1.74825140858753
199321,NA,NA,NA,NA,1.73307266368759,1.73307266368759
199322,NA,NA,NA,NA,1.76805663493297,1.76805663493297
199323,NA,NA,NA,NA,1.66001432873519,1.66001432873519
199324,NA,NA,NA,NA,1.87326962308141,1.87326962308141
199325,NA,NA,NA,NA,1.85085365261317,1.85085365261317
199326,NA,NA,NA,NA,1.83085413833301,1.83085413833301
199327,NA,NA,NA,NA,2.02991427044881,2.02991427044881
199328,NA,NA,NA,NA,2.20046264814455,2.20046264814455
199329,NA,NA,NA,NA,2.4428550612007,2.4428550612007
199330,NA,NA,NA,NA,2.53946473673985,2.53946473673985
199331,NA,NA,NA,NA,1.94382042937634,1.94382042937634
199332,NA,NA,NA,NA,1.90996575675151,1.90996575675151
199333,NA,NA,NA,NA,1.68340173887702,1.68340173887702
199334,NA,NA,NA,NA,1.64484772683116,1.64484772683116
199335,NA,NA,NA,NA,1.54356299786283,1.54356299786283
199336,NA,NA,NA,NA,1.64251020011657,1.64251020011657
199337,NA,NA,NA,NA,1.45049300563435,1.45049300563435
199338,NA,NA,NA,NA,1.70550199145133,1.70550199145133
199339,NA,NA,NA,NA,1.61204342335341,1.61204342335341
199340,NA,NA,NA,NA,1.60066543617641,1.60066543617641
199341,NA,NA,NA,NA,2.05657421799106,2.05657421799106
199342,NA,NA,NA,NA,1.75283538954731,1.75283538954731
